Energy_keV,Counts,Counts_norm_max1
-0.9550045,0.0,0.0
-0.9450055,0.0,0.0
-0.9350065000000001,0.0,0.0
-0.9250075,0.0,0.0
-0.9150085,0.0,0.0
-0.9050095,0.0,0.0
-0.8950105,0.0,0.0
-0.8850115000000001,0.0,0.0
-0.8750125000000001,0.0,0.0
-0.8650135000000001,0.0,0.0
-0.8550145,0.0,0.0
-0.8450155,0.0,0.0
-0.8350165,0.0,0.0
-0.8250175000000001,0.0,0.0
-0.8150185000000001,0.0,0.0
-0.8050195,0.0,0.0
-0.7950205,0.0,0.0
-0.7850215,0.0,0.0
-0.7750225000000001,0.0,0.0
-0.7650235000000001,0.0,0.0
-0.7550245,0.0,0.0
-0.7450255000000001,0.0,0.0
-0.7350265,0.0,0.0
-0.7250275,0.0,0.0
-0.7150285000000001,0.0,0.0
-0.7050295000000001,0.0,0.0
-0.6950305000000001,0.0,0.0
-0.6850315,0.0,0.0
-0.6750325,0.0,0.0
-0.6650335,0.0,0.0
-0.6550345000000001,0.0,0.0
-0.6450355000000001,0.0,0.0
-0.6350365,0.0,0.0
-0.6250375000000001,0.0,0.0
-0.6150385,0.0,0.0
-0.6050395000000001,0.0,0.0
-0.5950405000000001,0.0,0.0
-0.5850415,0.0,0.0
-0.5750425000000001,0.0,0.0
-0.5650435,0.0,0.0
-0.5550445,0.0,0.0
-0.5450455000000001,0.0,0.0
-0.5350465000000001,0.0,0.0
-0.5250475000000001,0.0,0.0
-0.5150485,0.0,0.0
-0.5050495000000002,0.0,0.0
-0.49505050000000006,0.0,0.0
-0.4850515000000001,0.0,0.0
-0.4750525000000001,0.0,0.0
-0.46505350000000006,0.0,0.0
-0.4550545000000001,0.0,0.0
-0.44505550000000005,0.0,0.0
-0.43505650000000007,0.0,0.0
-0.4250575000000001,0.0,0.0
-0.4150585000000001,0.0,0.0
-0.40505950000000013,0.0,0.0
-0.39506050000000004,0.0,0.0
-0.38506150000000006,0.0,0.0
-0.3750625000000001,0.0,0.0
-0.3650635000000001,0.0,0.0
-0.3550645000000001,0.0,0.0
-0.34506550000000014,0.0,0.0
-0.33506650000000004,0.0,0.0
-0.32506750000000006,0.0,0.0
-0.3150685000000001,0.0,0.0
-0.3050695000000001,0.0,0.0
-0.2950705000000001,0.0,0.0
-0.28507150000000003,0.0,0.0
-0.27507250000000005,0.0,0.0
-0.2650735000000001,0.0,0.0
-0.2550745000000001,0.0,0.0
-0.2450755000000001,0.0,0.0
-0.23507650000000013,0.0,0.0
-0.22507750000000004,0.0,0.0
-0.21507850000000006,0.0,0.0
-0.20507950000000008,0.0,0.0
-0.1950805000000001,0.0,0.0
-0.18508150000000012,0.0,0.0
-0.17508250000000014,1.0,9.183748438762765e-06
-0.16508350000000005,1.0,9.183748438762765e-06
-0.15508450000000007,2.0,1.836749687752553e-05
-0.1450855000000001,5.0,4.591874219381383e-05
-0.1350865000000001,2.0,1.836749687752553e-05
-0.12508750000000013,2.0,1.836749687752553e-05
-0.11508850000000015,2.0,1.836749687752553e-05
-0.10508950000000006,2.0,1.836749687752553e-05
-0.09509050000000008,4.0,3.673499375505106e-05
-0.0850915000000001,6.0,5.5102490632576594e-05
-0.07509250000000012,28.0,0.00025714495628535744
-0.06509350000000014,203.0,0.0018643009330688413
-0.05509450000000016,874.0,0.008026596135478656
-0.045095500000000066,3113.0,0.028589008889868487
-0.035096500000000086,8767.0,0.08051392256263316
-0.025097500000000106,19367.0,0.17786165601351847
-0.015098500000000126,32497.0,0.29844427301447357
-0.005099500000000146,41452.0,0.38068474028359417
0.0048994999999998345,41389.0,0.3801061641319521
0.014898499999999926,32249.0,0.2961667034016604
0.024897499999999906,19889.0,0.18265557269855265
0.034896499999999886,9175.0,0.08426089192564837
0.044895499999999866,3379.0,0.031031885974579385
0.054894499999999846,943.0,0.008660274777753288
0.06489349999999994,220.0,0.0020204246565278085
0.0748924999999998,47.0,0.00043163617662184996
0.0848914999999999,11.0,0.00010102123282639042
